Domicella comune,Domicella comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Antonio Corbisiero (lista civica Mani Unite Casola Domicella Casamanzi) dal 14-7-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°52′52″N 14°35′19″E
Altitudine,200 m s.l.m.
Superficie,"6,4 km²"
Abitanti,1 795[1] (30-11-2025)
Densità,"280,47 ab./km²"
Frazioni,"Casamanzi, Casola"
Comuni confinanti,"Carbonara di Nola (NA), Lauro, Liveri (NA), Marzano di Nola, Pago del Vallo di Lauro, Palma Campania (NA)"
Altre informazioni,Altre informazioni
Cod. postale,83020
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,064031
Cod. catastale,D331
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 374 GG[3]"
Nome abitanti,domicellesi
Patrono,"san Nicola di Bari, san Filippo Neri"
Giorno festivo,26 maggio
Cartografia,Cartografia
Domicella,Domicella
Domicella – MappaIl comune di Domicella all'interno della provincia di Avellino,Domicella – MappaIl comune di Domicella all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
