Grottaminarda comune,Grottaminarda comune.1
,
Grottaminarda – VedutaIl centro abitato e l'agro di Grottaminarda osservati dalle colline di Ariano Irpino,Grottaminarda – VedutaIl centro abitato e l'agro di Grottaminarda osservati dalle colline di Ariano Irpino
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Marcantonio Spera (lista civica) dal 13-06-2022
Territorio,Territorio
Coordinate,41°04′15″N 15°03′35″E
Altitudine,405 m s.l.m.
Superficie,"29,12 km²"
Abitanti,7 564[1] (30-11-2025)
Densità,"259,75 ab./km²"
Frazioni,"Bosco, Carpignano, Ciavolone - Conduttiello - Feudo Cortesano - Filette - Ischia Cardone - Marmore - San Martino - San Pietro - Schivito - Tremolizzi"
Comuni confinanti,"Ariano Irpino, Bonito, Flumeri, Fontanarosa, Frigento, Gesualdo, Melito Irpino, Mirabella Eclano"
Altre informazioni,Altre informazioni
Cod. postale,83035
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064038
Cod. catastale,E206
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 950 GG[3]"
Nome abitanti,grottesi
Patrono,san Tommaso d'Aquino
Giorno festivo,7 marzo
Cartografia,Cartografia
Grottaminarda,Grottaminarda
Grottaminarda – MappaPosizione del comune di Grottaminarda nella provincia di Avellino,Grottaminarda – MappaPosizione del comune di Grottaminarda nella provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
