Mercogliano comune,Mercogliano comune.1
,
Mercogliano – Veduta,Mercogliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Vittorio D'Alessio (lista civica Io scelgo Mercogliano) dal 27-5-2019
Territorio,Territorio
Coordinate,40°55′23″N 14°44′34″E
Altitudine,550 m s.l.m.
Superficie,"19,92 km²"
Abitanti,11 427[1] (30-11-2025)
Densità,"573,64 ab./km²"
Frazioni,"Montevergine, Torrette, Torelli, Capocastello, Acqua delle Noci, Località Macera"
Comuni confinanti,"Avellino, Monteforte Irpino, Mugnano del Cardinale, Ospedaletto d'Alpinolo, Quadrelle, Summonte"
Altre informazioni,Altre informazioni
Cod. postale,83013
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064049
Cod. catastale,F141
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 005 GG[3]"
Nome abitanti,mercoglianesi
Patrono,"santi Modestino, Fiorentino e Flaviano"
Giorno festivo,14 febbraio
Cartografia,Cartografia
Mercogliano,Mercogliano
Mercogliano – MappaPosizione del comune all'interno della provincia di Avellino,Mercogliano – MappaPosizione del comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
