Guardia Lombardi comune,Guardia Lombardi comune.1
,
Guardia Lombardi – Veduta,Guardia Lombardi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Antonio Incollingo (commissario prefettizio) dal 15-7-2025
Territorio,Territorio
Coordinate,40°57′17″N 15°12′35″E
Altitudine,998 m s.l.m.
Superficie,"55,87 km²"
Abitanti,1 451[1] (30-11-2025)
Densità,"25,97 ab./km²"
Frazioni,"Carmasciano, Fiumara, Forche, Fossi, Frassino, Lagoni, Lazzare, Melio, Papaloia, Paschi, Piani, Piano d'Occhio, Pietri, Santa Maria dei Manganelli, Sasso di sopra, Sasso di sotto, Taverne"
Comuni confinanti,"Andretta, Bisaccia, Carife, Frigento, Morra De Sanctis, Rocca San Felice, Sant'Angelo dei Lombardi, Vallata"
Altre informazioni,Altre informazioni
Cod. postale,83040
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064040
Cod. catastale,E245
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 686 GG[3]"
Nome abitanti,guardiesi
Patrono,san Leone IX
Giorno festivo,19 aprile
Cartografia,Cartografia
Guardia Lombardi,Guardia Lombardi
Guardia Lombardi – MappaIl comune di Guardia Lombardi all'interno della provincia di Avellino,Guardia Lombardi – MappaIl comune di Guardia Lombardi all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
