Venticano comune,Venticano comune.1
,
Venticano – VedutaMonumento ai Caduti,Venticano – VedutaMonumento ai Caduti
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Arturo Caprio (Orizzonte Comune) dal 10-6-2024
Territorio,Territorio
Coordinate,41°03′N 14°55′E
Altitudine,375 m s.l.m.
Superficie,"14,16 km²"
Abitanti,2 285[1] (30-11-2025)
Densità,"161,37 ab./km²"
Frazioni,"Campanarello, Calore, Castello del Lago"
Comuni confinanti,"Apice (BN), Calvi (BN), Mirabella Eclano, Pietradefusi, Torre Le Nocelle"
Altre informazioni,Altre informazioni
Cod. postale,83030
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064116
Cod. catastale,L739
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 864 GG[3]"
Nome abitanti,venticanesi
Patrono,santa Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Venticano,Venticano
Venticano – MappaIl comune di Venticano all'interno della provincia di Avellino,Venticano – MappaIl comune di Venticano all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
