Avellino comune,Avellino comune.1
,
Avellino – VedutaLa città al tramonto,Avellino – VedutaLa città al tramonto
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Giuliana Perrotta (commissario prefettizio) dal 20-07-2025
Territorio,Territorio
Coordinate,40°54′55″N 14°47′23″E
Altitudine,348 m s.l.m.
Superficie,"30,55 km²"
Abitanti,51 860[1] (30-11-2025)
Densità,"1 697,55 ab./km²"
Frazioni,"Bellizzi Irpino, Pianodardine, Picarelli, Valle-Ponticelli, Contrada Bagnoli, Bosco dei Preti, Quattrograna, Sant'Oronzo III, Sant'Oronzo-tufarole, Scrofeta, Santa Caterina, Santa Caterina II, Cardalani, Campilonghi, Sant'Eustachio, Breccelle I, Breccelle II, Selve"
Comuni confinanti,"Aiello del Sabato, Atripalda, Capriglia Irpina, Contrada, Grottolella, Manocalzati, Mercogliano, Monteforte Irpino, Montefredane, Ospedaletto d'Alpinolo, Summonte"
Altre informazioni,Altre informazioni
Cod. postale,83100
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064008
Cod. catastale,A509
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 742 GG[3]"
Nome abitanti,avellinesi
Patrono,"santi Modestino, Fiorentino e Flaviano"
Giorno festivo,14 febbraio
Cartografia,Cartografia
Avellino,Avellino
Avellino – MappaPosizione del comune di Avellino all'interno della provincia,Avellino – MappaPosizione del comune di Avellino all'interno della provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
