Zungoli comune,Zungoli comune.1
,
Zungoli – Veduta,Zungoli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Paolo Caruso (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,41°07′35″N 15°12′16″E
Altitudine,657 m s.l.m.
Superficie,"19,22 km²"
Abitanti,900[1] (30-11-2025)
Densità,"46,83 ab./km²"
Frazioni,"Taverna, Casette"
Comuni confinanti,"Anzano di Puglia (FG), Ariano Irpino, Flumeri, Monteleone di Puglia (FG), San Sossio Baronia, Villanova del Battista"
Altre informazioni,Altre informazioni
Cod. postale,83030
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064120
Cod. catastale,M203
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 255 GG[3]"
Nome abitanti,zungolesi
Patrono,San Crescenzo e sant'Anna
Giorno festivo,19 e 26 luglio
Cartografia,Cartografia
Zungoli,Zungoli
Zungoli – MappaIl comune di Zungoli all'interno della provincia di Avellino,Zungoli – MappaIl comune di Zungoli all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
