Cesinali comune,Cesinali comune.1
,
Cesinali – Veduta,Cesinali – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Dario Fiore (lista civica Lo stemma pro Cesinali) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°53′53″N 14°49′43″E
Altitudine,380 m s.l.m.
Superficie,"3,73 km²"
Abitanti,2 518[1] (30-11-2025)
Densità,"675,07 ab./km²"
Frazioni,"Nocelleto, Oratorio, Villa San Nicola"
Comuni confinanti,"Aiello del Sabato, Atripalda, San Michele di Serino, Santo Stefano del Sole"
Altre informazioni,Altre informazioni
Cod. postale,83020
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064026
Cod. catastale,C576
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 821 GG[3]"
Nome abitanti,cesinalesi
Patrono,san Silvestro Papa e san Rocco da Montpellier
Giorno festivo,31 dicembre
Cartografia,Cartografia
Cesinali,Cesinali
Cesinali – MappaPosizione del comune di Cesinali all'interno della provincia di Avellino,Cesinali – MappaPosizione del comune di Cesinali all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
