Bagnoli Irpino comune,Bagnoli Irpino comune.1
,
Bagnoli Irpino – VedutaPanorama invernale di Bagnoli Irpino,Bagnoli Irpino – VedutaPanorama invernale di Bagnoli Irpino
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Filippo Nigro (lista civica Una nuova alba) dal 4-10-2021
Territorio,Territorio
Coordinate,40°50′03″N 15°04′24″E
Altitudine,654 m s.l.m.
Superficie,"68,81 km²"
Abitanti,2 987[1] (30-11-2025)
Densità,"43,41 ab./km²"
Frazioni,Laceno
Comuni confinanti,"Acerno (SA), Calabritto, Caposele, Lioni, Montella, Nusco"
Altre informazioni,Altre informazioni
Cod. postale,83043
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064009
Cod. catastale,A566
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 144 GG[3]"
Nome abitanti,bagnolesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Bagnoli Irpino,Bagnoli Irpino
Bagnoli Irpino – MappaIl comune di Bagnoli Irpino all'interno della provincia di Avellino,Bagnoli Irpino – MappaIl comune di Bagnoli Irpino all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
