Marzano di Nola comune,Marzano di Nola comune.1
,
Marzano di Nola – VedutaIl Vesuvio visto dal santuario di Marzano di Nola,Marzano di Nola – VedutaIl Vesuvio visto dal santuario di Marzano di Nola
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Francesco Addeo (PSI) dal 10-6-2018
Territorio,Territorio
Coordinate,40°54′13″N 14°35′05″E
Altitudine,90 m s.l.m.
Superficie,"4,72 km²"
Abitanti,1 652[1] (30-11-2025)
Densità,350 ab./km²
Frazioni,"Torre, Tavernola"
Comuni confinanti,"Domicella, Liveri (NA), Pago del Vallo di Lauro, Visciano (NA)"
Altre informazioni,Altre informazioni
Cod. postale,83020
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,064047
Cod. catastale,E997
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 217 GG[3]"
Nome abitanti,marzanesi
Patrono,san Trifone
Giorno festivo,10 novembre
Cartografia,Cartografia
Marzano di Nola,Marzano di Nola
Marzano di Nola – MappaIl comune all'interno della provincia di Avellino,Marzano di Nola – MappaIl comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
