Sant'Andrea di Conza comune,Sant'Andrea di Conza comune.1
,
Sant'Andrea di Conza – Veduta,Sant'Andrea di Conza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Gerardo D'Angola (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,40°51′N 15°22′E
Altitudine,660 m s.l.m.
Superficie,"7,05 km²"
Abitanti,1 338[1] (30-11-2025)
Densità,"189,79 ab./km²"
Comuni confinanti,"Conza della Campania, Pescopagano (PZ)"
Altre informazioni,Altre informazioni
Cod. postale,83053
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064089
Cod. catastale,I264
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 261 GG[3]"
Nome abitanti,santandreani
Cartografia,Cartografia
Sant'Andrea di Conza,Sant'Andrea di Conza
Sant'Andrea di Conza – MappaIl comune di Sant'Andrea di Conza all'interno della provincia di Avellino,Sant'Andrea di Conza – MappaIl comune di Sant'Andrea di Conza all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
