Petruro Irpino comune,Petruro Irpino comune.1
,
Petruro Irpino – VedutaLa nuova piazza,Petruro Irpino – VedutaLa nuova piazza
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Giuseppe Lombardi[1] (lista civica Petruro futuro) dal 16-5-2011
Territorio,Territorio
Coordinate,41°02′N 14°48′E
Altitudine,500 m s.l.m.
Superficie,"3,14 km²"
Abitanti,298[2] (30-11-2025)
Densità,"94,9 ab./km²"
Comuni confinanti,"Altavilla Irpina, Chianche, San Nicola Manfredi (BN), Torrioni, Tufo"
Altre informazioni,Altre informazioni
Cod. postale,83010
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064071
Cod. catastale,G519
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 1 969 GG[4]"
Nome abitanti,petruresi
Patrono,san Bartolomeo
Cartografia,Cartografia
Petruro Irpino,Petruro Irpino
Petruro Irpino – MappaPosizione del comune all'interno della provincia di Avellino,Petruro Irpino – MappaPosizione del comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
