Sant'Angelo dei Lombardi comune,Sant'Angelo dei Lombardi comune.1
,
Sant'Angelo dei Lombardi – Veduta,Sant'Angelo dei Lombardi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Rosanna Repole (lista civica Sant'Angelo dei Lombardi Comunità Attiva) dal 15-5-2023
Territorio,Territorio
Coordinate,40°56′N 15°11′E
Altitudine,870 m s.l.m.
Superficie,"55,11 km²"
Abitanti,3 779[1] (30-11-2025)
Densità,"68,57 ab./km²"
Frazioni,"Acquara, Barricella, Casaglia, Castellani, Cupa dell'Olmo, Erbaia, Fredane, Genualdo, Luonghi, Marcolaponi, Martinelli, Montanaldo, Montevergine, Monticchio, Monticchio Apicella, Montocchia, Patetto, Piani San Nicola, Piano Mattino, Piano Messano, Porrara, Puoio, Ruocchio del Conte, Ruggiano, San Gennaro, San Guglielmo, San Marco, San Pietro, San Pietro Pozzi, Sant'Antuono, Santo Janni, San Vito, Scannacapre, Schinicosa, Secatizzo, Selvatico, Serra di Nardo, Siepi, Vallegrande"
Comuni confinanti,"Guardia Lombardi, Lioni, Morra De Sanctis, Nusco, Rocca San Felice, Torella dei Lombardi, Villamaina"
Altre informazioni,Altre informazioni
Cod. postale,83054
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064092
Cod. catastale,I281
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 385 GG[3]"
Nome abitanti,santangiolesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Sant'Angelo dei Lombardi,Sant'Angelo dei Lombardi
Sant'Angelo dei Lombardi – MappaIl comune di Sant'Angelo dei Lombardi all'interno della provincia di Avellino,Sant'Angelo dei Lombardi – MappaIl comune di Sant'Angelo dei Lombardi all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
