Villanova del Battista comune,Villanova del Battista comune.1
,
Villanova del Battista – VedutaPanorama,Villanova del Battista – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Ernesto Iorizzo (lista civica Nuova Era) dal 10-6-2024
Territorio,Territorio
Coordinate,41°07′N 15°10′E
Altitudine,742 m s.l.m.
Superficie,20 km²
Abitanti,1 438[1] (30-11-2025)
Densità,"71,9 ab./km²"
Comuni confinanti,"Ariano Irpino, Flumeri, Zungoli"
Altre informazioni,Altre informazioni
Cod. postale,83030
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064118
Cod. catastale,L973
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 321 GG[3]"
Nome abitanti,villanovesi
Patrono,san Giovanni Battista
Giorno festivo,29 agosto
Cartografia,Cartografia
Villanova del Battista,Villanova del Battista
Villanova del Battista – MappaIl Comune di Villanova del Battista all'interno della provincia di Avellino,Villanova del Battista – MappaIl Comune di Villanova del Battista all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
