Teora comune,Teora comune.1
,
Teora – Veduta,Teora – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Pasquale Chirico (lista civica Teora libera) dal 4-10-2021
Territorio,Territorio
Coordinate,40°51′08″N 15°15′14″E
Altitudine,660 m s.l.m.
Superficie,"23,21 km²"
Abitanti,1 424[1] (30-11-2025)
Densità,"61,35 ab./km²"
Comuni confinanti,"Caposele, Conza della Campania, Lioni, Morra De Sanctis"
Altre informazioni,Altre informazioni
Cod. postale,83056
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064108
Cod. catastale,L102
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 248 GG[3]"
Nome abitanti,teoresi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Teora,Teora
Teora – MappaIl comune di Teora all'interno della provincia di Avellino,Teora – MappaIl comune di Teora all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
