Mirabella Eclano comune,Mirabella Eclano comune.1
,
Mirabella Eclano – VedutaPanorama del centro storico di Mirabella Eclano,Mirabella Eclano – VedutaPanorama del centro storico di Mirabella Eclano
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Giancarlo Ruggiero (lista civica Uniti per Mirabella) dal 27-5-2019
Territorio,Territorio
Coordinate,41°02′45″N 14°59′59″E
Altitudine,372 m s.l.m.
Superficie,"33,96 km²"
Abitanti,6 552[1] (30-11-2025)
Densità,"192,93 ab./km²"
Frazioni,"Calore, Passo, Pianopantano[2]"
Comuni confinanti,"Apice (BN), Bonito, Calvi (BN), Fontanarosa, Grottaminarda, Sant'Angelo all'Esca, Taurasi, Torre Le Nocelle, Venticano"
Altre informazioni,Altre informazioni
Cod. postale,83036
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064050
Cod. catastale,F230
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 1 869 GG[4]"
Nome abitanti,"mirabellani, eclanesi"
Patrono,Madonna del sacro latte
Giorno festivo,2 febbraio
Cartografia,Cartografia
Mirabella Eclano,Mirabella Eclano
Mirabella Eclano – MappaPosizione del comune all'interno della provincia di Avellino,Mirabella Eclano – MappaPosizione del comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
