San Nicola Baronia comune,San Nicola Baronia comune.1
,
San Nicola Baronia – Veduta,San Nicola Baronia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Giuseppe Moriello (lista civica Insieme per San Nicola Baronia) dal 27-5-2019
Territorio,Territorio
Coordinate,41°03′32″N 15°11′56″E
Altitudine,610 m s.l.m.
Superficie,"6,9 km²"
Abitanti,737[1] (30-11-2025)
Densità,"106,81 ab./km²"
Frazioni,Ferregne
Comuni confinanti,"Carife, Castel Baronia, Flumeri, San Sossio Baronia, Trevico"
Altre informazioni,Altre informazioni
Cod. postale,83050
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064085
Cod. catastale,I061
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 179 GG[3]"
Nome abitanti,sannicolesi
Patrono,San Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
San Nicola Baronia,San Nicola Baronia
San Nicola Baronia – MappaPosizione del comune all'interno della provincia di Avellino,San Nicola Baronia – MappaPosizione del comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
