Salza Irpina comune,Salza Irpina comune.1
,
Salza Irpina – VedutaPanorama,Salza Irpina – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Luigi Cella (lista civica Insieme per Salza) dal 27-5-2019
Territorio,Territorio
Coordinate,40°54′46.65″N 14°53′53.65″E
Altitudine,547 m s.l.m.
Superficie,"4,96 km²"
Abitanti,726[1] (30-11-2025)
Densità,"146,37 ab./km²"
Comuni confinanti,"Chiusano di San Domenico, Parolise, San Potito Ultra, Sorbo Serpico, Volturara Irpina"
Altre informazioni,Altre informazioni
Cod. postale,83050
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064081
Cod. catastale,H733
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 097 GG[3]"
Nome abitanti,salzesi
Patrono,santi Pietro e Paolo
Cartografia,Cartografia
Salza Irpina,Salza Irpina
Salza Irpina – MappaIl comune di Salza Irpina all'interno della provincia di Avellino,Salza Irpina – MappaIl comune di Salza Irpina all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
