Melito Irpino comune,Melito Irpino comune.1
,
Melito Irpino – VedutaIl municipio e la piazza degli Eroi,Melito Irpino – VedutaIl municipio e la piazza degli Eroi
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Michele Spinazzola (lista civica Democrazia e progresso) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,41°06′15″N 15°03′12″E
Altitudine,461 m s.l.m.
Superficie,"20,68 km²"
Abitanti,1 762[1] (30-11-2025)
Densità,"85,2 ab./km²"
Frazioni,"Cozza, Fontana del Bosco, Incoronata"
Comuni confinanti,"Apice (BN), Ariano Irpino, Bonito, Grottaminarda"
Altre informazioni,Altre informazioni
Cod. postale,83030
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064048
Cod. catastale,F110
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 549 GG[3]"
Nome abitanti,melitesi
Patrono,sant'Egidio
Giorno festivo,1º settembre
Cartografia,Cartografia
Melito Irpino,Melito Irpino
Melito Irpino – MappaIl comune di Melito Irpino all'interno della provincia di Avellino,Melito Irpino – MappaIl comune di Melito Irpino all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
