Torella dei Lombardi comune,Torella dei Lombardi comune.1
,
Torella dei Lombardi – Veduta,Torella dei Lombardi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Amado Delli Gatti (lista civica) dal 5-6-2016
Territorio,Territorio
Coordinate,40°56′N 15°07′E
Altitudine,666 m s.l.m.
Superficie,"26,57 km²"
Abitanti,1 949[1] (30-11-2025)
Densità,"73,35 ab./km²"
Frazioni,"Acquara, Pianomarotta, San Vito, Montanaldo, Ss. Giovanni e Paolo, Cedolena, Lenze, Cerri, Serrone"
Comuni confinanti,"Castelfranci, Nusco, Paternopoli, Sant'Angelo dei Lombardi, Villamaina"
Altre informazioni,Altre informazioni
Cod. postale,83057
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064109
Cod. catastale,L214
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 255 GG[3]"
Nome abitanti,torellesi
Patrono,sant'Eustachio
Giorno festivo,20 settembre
Cartografia,Cartografia
Torella dei Lombardi,Torella dei Lombardi
Torella dei Lombardi – MappaIl comune all'interno della provincia di Avellino,Torella dei Lombardi – MappaIl comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
