Mugnano del Cardinale comune,Mugnano del Cardinale comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Alessandro Napolitano (lista civica Terra nostra) dal 15-05-2023
Territorio,Territorio
Coordinate,40°55′58.51″N 14°39′45.87″E
Altitudine,250 m s.l.m.
Superficie,"12,3 km²"
Abitanti,5 114[1] (30-11-2025)
Densità,"415,77 ab./km²"
Frazioni,Frazione Cardinale
Comuni confinanti,"Baiano, Mercogliano, Monteforte Irpino, Quadrelle, Sirignano, Visciano (NA)"
Altre informazioni,Altre informazioni
Cod. postale,83027
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,064065
Cod. catastale,F798
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 442 GG[3]"
Nome abitanti,mugnanesi
Patrono,Maria SS. delle Grazie
Giorno festivo,2 luglio
Cartografia,Cartografia
Mugnano del Cardinale,Mugnano del Cardinale
Mugnano del Cardinale – MappaPosizione del comune all'interno della provincia di Avellino,Mugnano del Cardinale – MappaPosizione del comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
