Aquilonia comune,Aquilonia comune.1
,
Aquilonia – Veduta,Aquilonia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Antonio Caputo (lista civica Patto per Aquilonia) dal 15-5-2023
Territorio,Territorio
Coordinate,40°59′16″N 15°28′31″E
Altitudine,750 m s.l.m.
Superficie,"56,15 km²"
Abitanti,1 382[1] (30-11-2025)
Densità,"24,61 ab./km²"
Comuni confinanti,"Bisaccia, Calitri, Lacedonia, Melfi (PZ), Monteverde, Rionero in Vulture (PZ)"
Altre informazioni,Altre informazioni
Cod. postale,83041
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064004
Cod. catastale,A347
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 299 GG[3]"
Nome abitanti,aquiloniesi
Patrono,san Vito
Giorno festivo,"9 maggio, 15 giugno"
Cartografia,Cartografia
Aquilonia,Aquilonia
Aquilonia – MappaIl comune di Aquilonia all'interno della provincia di Avellino,Aquilonia – MappaIl comune di Aquilonia all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
