Montemarano comune,Montemarano comune.1
,
Montemarano – Veduta,Montemarano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Beniamino Palmieri (lista civica di centro-sinistra Montemarano nel cuore) dal 7-5-2012 (3º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,40°54′58″N 14°59′54″E
Altitudine,820 m s.l.m.
Superficie,"34,01 km²"
Abitanti,2 523[1] (30-11-2025)
Densità,"74,18 ab./km²"
Frazioni,Ponteromito
Comuni confinanti,"Cassano Irpino, Castelfranci, Castelvetere sul Calore, Montella, Nusco, Paternopoli, Volturara Irpina"
Altre informazioni,Altre informazioni
Cod. postale,83040
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064058
Cod. catastale,F559
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 464 GG[3]"
Nome abitanti,montemaranesi
Patrono,san Giovanni di Montemarano
Giorno festivo,21 agosto
Cartografia,Cartografia
Montemarano,Montemarano
Montemarano – MappaPosizione del comune all'interno della provincia di Avellino,Montemarano – MappaPosizione del comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
