Lioni comune,Lioni comune.1
(dettagli),(dettagli)
Lioni – Veduta,Lioni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Yuri Gioino (lista civica Lioni democratica) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,40°52′39″N 15°11′19″E
Altitudine,550 m s.l.m.
Superficie,"46,51 km²"
Abitanti,5 864[1] (30-11-2025)
Densità,"126,08 ab./km²"
Frazioni,"Cerrete, Civita, Lago, Oppido, Procisa Nuova, Procisa Vecchia, Santa Maria del Piano, Serro di Morra, Valle delle Viti"
Comuni confinanti,"Bagnoli Irpino, Calabritto, Caposele, Morra De Sanctis, Nusco, Sant'Angelo dei Lombardi, Teora"
Altre informazioni,Altre informazioni
Cod. postale,83047
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064044
Cod. catastale,E605
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 022 GG[3]"
Nome abitanti,lionesi
Patrono,san Rocco
Giorno festivo,16 agosto
PIL procapite,(nominale) 13 687[senza fonte] euro
Cartografia,Cartografia
Lioni,Lioni
Lioni – MappaIl comune all'interno della provincia di Avellino,Lioni – MappaIl comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
