Candida comune,Candida comune.1
,
Candida – Veduta,Candida – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Fausto Picone (lista civica “Insieme per Candida”) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°56′36″N 14°52′30″E
Altitudine,579 m s.l.m.
Superficie,"5,35 km²"
Abitanti,1 081[1] (30-11-2025)
Densità,"202,06 ab./km²"
Comuni confinanti,"Lapio, Manocalzati, Montefalcione, Parolise, Pratola Serra, San Potito Ultra"
Altre informazioni,Altre informazioni
Cod. postale,83040
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064016
Cod. catastale,B590
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 087 GG[3]"
Nome abitanti,candidesi
Patrono,san Filippo Neri
Giorno festivo,26 maggio
Cartografia,Cartografia
Candida,Candida
Candida – MappaIl comune di Candida all'interno della provincia di Avellino,Candida – MappaIl comune di Candida all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
