Sirignano comune,Sirignano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Antonio Colucci (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,40°57′N 14°38′E
Altitudine,270 m s.l.m.
Superficie,"6,19 km²"
Abitanti,2 935[1] (30-11-2025)
Densità,"474,15 ab./km²"
Comuni confinanti,"Avella, Baiano, Mugnano del Cardinale, Quadrelle, Summonte"
Altre informazioni,Altre informazioni
Cod. postale,83020
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,064100
Cod. catastale,I756
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 550 GG[3]"
Nome abitanti,sirignanesi
Patrono,sant'Andrea apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Sirignano,Sirignano
Sirignano – MappaIl comune di Sirignano all'interno della provincia di Avellino,Sirignano – MappaIl comune di Sirignano all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
