Morra De Sanctis comune,Morra De Sanctis comune.1
,
Morra De Sanctis – VedutaLa parte alta del paese.,Morra De Sanctis – VedutaLa parte alta del paese.
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Fiorella Caputo (lista civica Siamo Morra Libera) dal 10-06-2024
Territorio,Territorio
Coordinate,40°55′48″N 15°14′37″E
Altitudine,863 m s.l.m.
Superficie,"30,41 km²"
Abitanti,1 083[1] (30-11-2025)
Densità,"35,61 ab./km²"
Frazioni,Per tutte le contrade premi qui
Comuni confinanti,"Andretta, Conza della Campania, Guardia Lombardi, Lioni, Sant'Angelo dei Lombardi, Teora"
Altre informazioni,Altre informazioni
Cod. postale,83040
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064063
Cod. catastale,F744
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 363 GG[3]"
Nome abitanti,morresi
Patrono,san Rocco
Giorno festivo,23 agosto
Cartografia,Cartografia
Morra De Sanctis,Morra De Sanctis
Morra De Sanctis – MappaIl comune all'interno della provincia di Avellino,Morra De Sanctis – MappaIl comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
