Aiello del Sabato comune,Aiello del Sabato comune.1
,
Aiello del Sabato – Veduta,Aiello del Sabato – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Sebastiano Gaeta (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,40°53′24″N 14°49′18″E
Altitudine,425 m s.l.m.
Superficie,"10,87 km²"
Abitanti,4 051[1] (30-11-2025)
Densità,"372,68 ab./km²"
Frazioni,"Sabina, San Raffaele, Tavernola San Felice"
Comuni confinanti,"Atripalda, Avellino, Cesinali, Contrada, San Michele di Serino, Serino, Solofra"
Altre informazioni,Altre informazioni
Cod. postale,83020
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064001
Cod. catastale,A101
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 931 GG[3]"
Nome abitanti,aiellesi
Patrono,"san Sebastiano, san Fabiano"
Giorno festivo,20 gennaio
Cartografia,Cartografia
Aiello del Sabato,Aiello del Sabato
Aiello del Sabato – MappaIl comune di Aiello del Sabato all'interno della provincia di Avellino,Aiello del Sabato – MappaIl comune di Aiello del Sabato all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
