Monteforte Irpino comune,Monteforte Irpino comune.1
,
Monteforte Irpino – VedutaIl castello,Monteforte Irpino – VedutaIl castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Fabio Siricio (É ORA) dal 25-11-25
Territorio,Territorio
Coordinate,40°53′34″N 14°43′10″E
Altitudine,502 m s.l.m.
Superficie,"26,96 km²"
Abitanti,11 351[1] (30-11-2025)
Densità,"421,03 ab./km²"
Frazioni,"Alvanella, Campi, Fenestrelle, Gaudi, Molinelle, Vetriera,"
Comuni confinanti,"Avellino, Contrada, Forino, Mercogliano, Moschiano, Mugnano del Cardinale, Taurano, Visciano (NA)"
Altre informazioni,Altre informazioni
Cod. postale,83024
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064054
Cod. catastale,F506
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 957 GG[3]"
Nome abitanti,montefortesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Monteforte Irpino,Monteforte Irpino
Monteforte Irpino – MappaPosizione del comune all'interno della provincia di Avellino,Monteforte Irpino – MappaPosizione del comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
