Baiano comune,Baiano comune.1
,
Baiano – VedutaUno scorcio del paese nei pressi della stazione della Circumvesuviana,Baiano – VedutaUno scorcio del paese nei pressi della stazione della Circumvesuviana
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Enrico Montanaro (lista civica Baiano civica) dal 7-5-2012 (3º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,40°57′13″N 14°37′03″E
Altitudine,196 m s.l.m.
Superficie,"12,3 km²"
Abitanti,4 365[1] (30-11-2025)
Densità,"354,88 ab./km²"
Comuni confinanti,"Avella, Mugnano del Cardinale, Sirignano, Sperone, Visciano (NA)"
Altre informazioni,Altre informazioni
Cod. postale,83022
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,064010
Cod. catastale,A580
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 117 GG[3]"
Nome abitanti,baianesi
Patrono,santo Stefano
Giorno festivo,3 agosto
Cartografia,Cartografia
Baiano,Baiano
Baiano – MappaIl comune all'interno della provincia di Avellino,Baiano – MappaIl comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
