Moschiano comune,Moschiano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Sergio Pacia (lista civica Uniti per Moschiano) dal 09-06-2024
Territorio,Territorio
Coordinate,40°52′N 14°40′E
Altitudine,276 m s.l.m.
Superficie,"13,45 km²"
Abitanti,1 532[1] (30-11-2025)
Densità,"113,9 ab./km²"
Comuni confinanti,"Forino, Lauro, Monteforte Irpino, Quindici, Taurano"
Altre informazioni,Altre informazioni
Cod. postale,83020
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,064064
Cod. catastale,F762
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 565 GG[3]"
Nome abitanti,moschianesi
Patrono,Madonna della Carità
Cartografia,Cartografia
Moschiano,Moschiano
Moschiano – MappaIl comune di Moschiano all'interno della provincia di Avellino,Moschiano – MappaIl comune di Moschiano all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
