Montefredane comune,Montefredane comune.1
,
Montefredane – VedutaIl centro visto dalla località Sant'Antonio,Montefredane – VedutaIl centro visto dalla località Sant'Antonio
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Ciro Aquino (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,40°58′N 14°49′E
Altitudine,593 m s.l.m.
Superficie,"9,45 km²"
Abitanti,2 151[1] (30-11-2025)
Densità,"227,62 ab./km²"
Frazioni,"Alimata (Frazione Gaita), Arcella, Boscomagliano (o Bosco Magliano)"
Comuni confinanti,"Avellino, Grottolella, Manocalzati, Prata di Principato Ultra, Pratola Serra"
Altre informazioni,Altre informazioni
Cod. postale,83030
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064055
Cod. catastale,F511
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 115 GG[3]"
Nome abitanti,montefredanesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Montefredane,Montefredane
Montefredane – MappaIl comune di Montefredane all'interno della provincia di Avellino,Montefredane – MappaIl comune di Montefredane all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
