Cervinara comune,Cervinara comune.1
,
Cervinara – VedutaLa villa comunale,Cervinara – VedutaLa villa comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Caterina Lengua (lista civica Cervinara sempre) dal 22-9-2020
Territorio,Territorio
Coordinate,41°01′17″N 14°36′55″E
Altitudine,"284,90 m s.l.m."
Superficie,"29,34 km²"
Abitanti,8 739[1] (30-11-2025)
Densità,"297,85 ab./km²"
Frazioni,"Castello, Curielli, Ferrari, Ioffredo, Pantanari, Pirozza, Salomoni, San Marciano, San Potito, Scalamoni, Trescine, Valle"
Comuni confinanti,"Avella, Montesarchio (BN), Roccarainola (NA), Rotondi, San Martino Valle Caudina"
Altre informazioni,Altre informazioni
Cod. postale,83012
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,064025
Cod. catastale,C557
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 576 GG[3]"
Nome abitanti,cervinaresi
Patrono,san Gennaro[4]
Giorno festivo,19 settembre[4]
Cartografia,Cartografia
Cervinara,Cervinara
Cervinara – MappaIl comune all'interno della provincia di Avellino,Cervinara – MappaIl comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
