Savignano Irpino comune,Savignano Irpino comune.1
,
Savignano Irpino – Veduta,Savignano Irpino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Fabio Della Marra Scarpone (lista civica Noi per Savignano) dal 26-5-2014
Territorio,Territorio
Coordinate,41°14′N 15°11′E
Altitudine,718 m s.l.m.
Superficie,"38,47 km²"
Abitanti,1 014[1] (30-11-2025)
Densità,"26,36 ab./km²"
Frazioni,"Savignano Scalo, Ciccotonno, Bosco, Cesine, Cavallari, Fiego, Ortichella, Ischia, Prato, Pescara, Difesa, Ferrara"
Comuni confinanti,"Ariano Irpino, Greci, Montaguto, Monteleone di Puglia (FG), Panni (FG)"
Altre informazioni,Altre informazioni
Cod. postale,83030
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064096
Cod. catastale,I471
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 284 GG[3]"
Nome abitanti,savignanesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Savignano Irpino,Savignano Irpino
Savignano Irpino – MappaPosizione del comune all'interno della provincia di Avellino,Savignano Irpino – MappaPosizione del comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
