Greci comune,Greci comune.1
,
Greci – Veduta,Greci – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Nicola Norcia (lista civica Greci guarda al futuro) dal 10-6-2018
Territorio,Territorio
Coordinate,41°15′10″N 15°10′12″E
Altitudine,821 m s.l.m.
Superficie,"30,27 km²"
Abitanti,593[1] (30-11-2025)
Densità,"19,59 ab./km²"
Comuni confinanti,"Ariano Irpino, Castelfranco in Miscano (BN), Faeto (FG), Montaguto, Orsara di Puglia (FG), Savignano Irpino"
Altre informazioni,Altre informazioni
Cod. postale,83030
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064037
Cod. catastale,E161
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 658 GG[3]"
Nome abitanti,grecesi
Patrono,san Bartolomeo apostolo
Giorno festivo,25 agosto
Cartografia,Cartografia
Greci,Greci
Greci – MappaIl comune di Greci all'interno della provincia di Avellino,Greci – MappaIl comune di Greci all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
