Volturara Irpina comune,Volturara Irpina comune.1
,
Volturara Irpina – VedutaVolturara Irpina dal monte S. Michele,Volturara Irpina – VedutaVolturara Irpina dal monte S. Michele
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Marino Sarno dal 15-5-2023
Territorio,Territorio
Coordinate,40°53′N 14°55′E
Altitudine,697 m s.l.m.
Superficie,"32,42 km²"
Abitanti,2 882[1] (30-11-2025)
Densità,"88,9 ab./km²"
Frazioni,Tavernole
Comuni confinanti,"Castelvetere sul Calore, Chiusano di San Domenico, Montella, Montemarano, Salza Irpina, Santo Stefano del Sole, Serino, Sorbo Serpico"
Altre informazioni,Altre informazioni
Cod. postale,83050
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064119
Cod. catastale,M130
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 319 GG[3]"
Nome abitanti,volturaresi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Volturara Irpina,Volturara Irpina
Volturara Irpina – MappaIl comune di Volturara Irpina all'interno della provincia di Avellino,Volturara Irpina – MappaIl comune di Volturara Irpina all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
