Casalbore comune,Casalbore comune.1
,
"Casalbore – VedutaIl profilo del centro abitato, posto in cima a un colle e dominato dalla torre Normanna, osservato dalla valle del Miscano","Casalbore – VedutaIl profilo del centro abitato, posto in cima a un colle e dominato dalla torre Normanna, osservato dalla valle del Miscano"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Emilio Salvatore (lista civica Libertà e progresso) dal 15-5-2023
Territorio,Territorio
Coordinate,41°14′06″N 15°00′27″E
Altitudine,601 m s.l.m.
Superficie,"28,09 km²"
Abitanti,1 515[1] (30-11-2025)
Densità,"53,93 ab./km²"
Frazioni,"Cupa, Cupazzo, Frascino, Mainardi, Pagliarone, San Ferro, Sant'Elia, Schiavonesca, Todino"
Comuni confinanti,"Buonalbergo (BN), Ginestra degli Schiavoni (BN), Montecalvo Irpino, San Giorgio La Molara (BN)"
Altre informazioni,Altre informazioni
Cod. postale,83034
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064020
Cod. catastale,B866
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 009 GG[3]"
Nome abitanti,casalboresi
Patrono,Madonna della Neve
Giorno festivo,5 agosto
Soprannome,il paese delle 50 sorgenti[4]
Cartografia,Cartografia
Casalbore,Casalbore
Casalbore – MappaPosizione del comune all'interno della provincia di Avellino,Casalbore – MappaPosizione del comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
