Castelfranci comune,Castelfranci comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Maria Antonietta Cava (Commissario prefettizio) dal 2-04-2025
Territorio,Territorio
Coordinate,40°55′56″N 15°02′39″E
Altitudine,450 m s.l.m.
Superficie,"11,69 km²"
Abitanti,1 666[1] (30-11-2025)
Densità,"142,51 ab./km²"
Comuni confinanti,"Montemarano, Nusco, Paternopoli, Torella dei Lombardi"
Altre informazioni,Altre informazioni
Cod. postale,83040
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064023
Cod. catastale,C105
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,castellesi(castiddisi)
Patrono,san Nicola di Bari
Giorno festivo,9 maggio
Cartografia,Cartografia
Castelfranci,Castelfranci
Castelfranci – MappaIl comune all'interno della provincia di Avellino,Castelfranci – MappaIl comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
