Castel Baronia comune,Castel Baronia comune.1
,
Castel Baronia – Veduta,Castel Baronia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Patrizia Reale (Viva Castel Baronia) dal 10-6-2024
Territorio,Territorio
Coordinate,41°02′54″N 15°11′23″E
Altitudine,639 m s.l.m.
Superficie,"15,37 km²"
Abitanti,1 048[1] (30-11-2025)
Densità,"68,18 ab./km²"
Comuni confinanti,"Carife, Flumeri, San Nicola Baronia, Sturno, Trevico"
Altre informazioni,Altre informazioni
Cod. postale,83040
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064022
Cod. catastale,C058
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 231 GG[3]"
Nome abitanti,castellesi
Patrono,Madonna delle Fratte
Giorno festivo,2 febbraio
Cartografia,Cartografia
Castel Baronia,Castel Baronia
Castel Baronia – MappaIl comune di Castel Baronia all'interno della provincia di Avellino,Castel Baronia – MappaIl comune di Castel Baronia all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
