Taurasi comune,Taurasi comune.1
,
Taurasi – Veduta,Taurasi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Antonio Tranfaglia (lista civica Taurasi viva) dal 27-5-2019
Territorio,Territorio
Coordinate,41°00′54.67″N 14°57′48.82″E
Altitudine,398 m s.l.m.
Superficie,"14,41 km²"
Abitanti,2 058[1] (30-11-2025)
Densità,"142,82 ab./km²"
Comuni confinanti,"Lapio, Luogosano, Mirabella Eclano, Montemiletto, Sant'Angelo all'Esca, Torre Le Nocelle"
Altre informazioni,Altre informazioni
Cod. postale,83030
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064107
Cod. catastale,L062
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 933 GG[3]"
Nome abitanti,taurasini
Patrono,san Marciano
Giorno festivo,14 giugno
Cartografia,Cartografia
Taurasi,Taurasi
Taurasi – MappaIl comune di Taurasi all'interno della provincia di Avellino,Taurasi – MappaIl comune di Taurasi all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
