Roccabascerana comune,Roccabascerana comune.1
,
Roccabascerana – VedutaVia Giordano Bruno,Roccabascerana – VedutaVia Giordano Bruno
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Roberto Del Grosso (lista civica) dal 5-6-2016
Territorio,Territorio
Coordinate,41°01′N 14°43′E
Altitudine,430 m s.l.m.
Superficie,"12,46 km²"
Abitanti,2 346[1] (30-11-2025)
Densità,"188,28 ab./km²"
Frazioni,"Cassano Caudino, Squillani, Tufara Valle, Tuoro, Zolli"
Comuni confinanti,"Apollosa (BN), Arpaise (BN), Ceppaloni (BN), Montesarchio (BN), Pannarano (BN), Pietrastornina, San Martino Valle Caudina"
Altre informazioni,Altre informazioni
Cod. postale,83016
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064078
Cod. catastale,H382
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 004 GG[3]"
Nome abitanti,rocchesi
Patrono,san Giorgio e san Leonardo
Giorno festivo,23 aprile
Cartografia,Cartografia
Roccabascerana,Roccabascerana
Roccabascerana – MappaIl comune di Roccabascerana all'interno della provincia di Avellino,Roccabascerana – MappaIl comune di Roccabascerana all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
