Provincia di Avellino provincia,Provincia di Avellino provincia.1
(dettagli),(dettagli)
"Provincia di Avellino – VedutaPalazzo Caracciolo, sede della amministrazione provinciale, 2020","Provincia di Avellino – VedutaPalazzo Caracciolo, sede della amministrazione provinciale, 2020"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Amministrazione,Amministrazione
Capoluogo,Avellino
Presidente,Rizieri Buonopane (PD) dal 19-12-2021
Data di istituzione,17 dicembre 1860
Territorio,Territorio
Coordinate del capoluogo,40°54′55″N 14°47′23″E
Superficie,"2 806,07 km²"
Abitanti,393 704[1] (30-9-2025)
Densità,"140,3 ab./km²"
Comuni,118 comuni
Province confinanti,"Benevento, Foggia, Napoli, Potenza, Salerno"
Altre informazioni,Altre informazioni
Lingue,"italiano, arbëreshe (nel comune di Greci)"
Cod. postale,83100 (Avellino) 83010 - 83059 (altri comuni)
Prefisso,"081, 0824, 0825, 0827"
Fuso orario,UTC+1
ISO 3166-2,IT-AV
Codice ISTAT,064
Targa,AV
PIL,"(nominale) 7 741,32 mln €[2](2021)"
PIL procapite,(nominale) 19 283 €[2](2021)
Cartografia,Cartografia
Provincia di Avellino – Localizzazione,Provincia di Avellino – Localizzazione
Provincia di Avellino – MappaPosizione della provincia di Avellino all'interno della Campania,Provincia di Avellino – MappaPosizione della provincia di Avellino all'interno della Campania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
