Sturno comune,Sturno comune.1
,
Sturno – VedutaIl palazzo dei Baroni Grella,Sturno – VedutaIl palazzo dei Baroni Grella
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Vito di Leo (lista civica Continuità-rinnovamento-coerenza) dal 6-6-2016
Data di istituzione,9 aprile 1809
Territorio,Territorio
Coordinate,41°00′57.12″N 15°08′08.63″E
Altitudine,652 m s.l.m.
Superficie,"16,67 km²"
Abitanti,2 708[1] (30-11-2025)
Densità,"162,45 ab./km²"
Comuni confinanti,"Carife, Castel Baronia, Flumeri, Frigento, Rocca San Felice"
Altre informazioni,Altre informazioni
Cod. postale,83055
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064104
Cod. catastale,I990
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 233 GG[3]"
Nome abitanti,sturnesi
Patrono,san Domenico di Guzmán
Giorno festivo,8 agosto
Cartografia,Cartografia
Sturno,Sturno
Sturno – MappaIl comune di Sturno all'interno della provincia di Avellino,Sturno – MappaIl comune di Sturno all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
