Senerchia comune,Senerchia comune.1
,
Senerchia – Veduta,Senerchia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Michele Di Muro (Sindaco) dal 26-05-2025
Territorio,Territorio
Coordinate,40°44′30″N 15°12′15″E
Altitudine,600 m s.l.m.
Superficie,"35,99 km²"
Abitanti,707[1] (30-11-2025)
Densità,"19,64 ab./km²"
Comuni confinanti,"Acerno (SA), Calabritto, Campagna (SA), Oliveto Citra (SA), Valva (SA)."
Altre informazioni,Altre informazioni
Cod. postale,83050
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064098
Cod. catastale,I606
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 101 GG[3]"
Nome abitanti,senerchiesi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio e 29 settembre
PIL procapite,(nominale) Euro 4300[senza fonte]
Cartografia,Cartografia
Senerchia,Senerchia
Senerchia – MappaPosizione del comune all'interno della provincia di Avellino,Senerchia – MappaPosizione del comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
