Andretta comune,Andretta comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Michele Miele (lista civica Andretta domani) dal 22-9-2020
Territorio,Territorio
Coordinate,40°56′18″N 15°19′33″E
Altitudine,850 m s.l.m.
Superficie,"43,65 km²"
Abitanti,1 633[1] (30-11-2025)
Densità,"37,41 ab./km²"
Frazioni,Mattinella
Comuni confinanti,"Bisaccia, Cairano, Calitri, Conza della Campania, Guardia Lombardi, Morra De Sanctis"
Altre informazioni,Altre informazioni
Cod. postale,83040
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064003
Cod. catastale,A284
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 464 GG[3]"
Nome abitanti,andrettesi
Patrono,sant'Antonio di Padova
Giorno festivo,5 settembre
Cartografia,Cartografia
Andretta,Andretta
Andretta – MappaIl comune di Andretta all'interno della provincia di Avellino,Andretta – MappaIl comune di Andretta all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
