Conza della Campania comune,Conza della Campania comune.1
,
Conza della Campania – VedutaIl nuovo abitato di Conza realizzato dopo il sisma del 1980.,Conza della Campania – VedutaIl nuovo abitato di Conza realizzato dopo il sisma del 1980.
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Raffaele Cantarella (lista civica Insieme per Conza) dal 15-5-2023
Territorio,Territorio
Coordinate,40°52′27″N 15°18′28″E
Altitudine,440 m s.l.m.
Superficie,"51,64 km²"
Abitanti,1 273[1] (30-11-2025)
Densità,"24,65 ab./km²"
Frazioni,zona prefabbricati - 16 abitanti
Comuni confinanti,"Andretta, Cairano, Caposele, Castelnuovo di Conza (SA), Morra De Sanctis, Pescopagano (PZ), Sant'Andrea di Conza, Teora"
Altre informazioni,Altre informazioni
Cod. postale,83040
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064030
Cod. catastale,C976
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 086 GG[3]"
Nome abitanti,conzani
Patrono,sant'Erberto
Giorno festivo,20 agosto
Cartografia,Cartografia
Conza della Campania,Conza della Campania
Conza della Campania – MappaIl comune all'interno della provincia di Avellino,Conza della Campania – MappaIl comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
