Santa Paolina comune,Santa Paolina comune.1
,
Santa Paolina – VedutaVista dal comune di Montefusco,Santa Paolina – VedutaVista dal comune di Montefusco
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,"Rino Ricciardelli (lista civica ""Centrosinistra"") dal 27-5-2019"
Territorio,Territorio
Coordinate,41°01′22″N 14°50′53″E
Altitudine,550 m s.l.m.
Superficie,"8,43 km²"
Abitanti,1 127[1] (30-11-2025)
Densità,"133,69 ab./km²"
Frazioni,"Castelmozzo, Marotta, Picoli, Passo-Serra, Pietrarola, Ponte Zeza, Sala, Santa Lucia, Viturano"
Comuni confinanti,"Montefusco, Montemiletto, Prata di Principato Ultra, Torrioni, Tufo"
Altre informazioni,Altre informazioni
Cod. postale,83030
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064093
Cod. catastale,I301
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 072 GG[3]"
Nome abitanti,santapaolinari
Patrono,santa Paolina
Giorno festivo,6 giugno
Cartografia,Cartografia
Santa Paolina,Santa Paolina
Santa Paolina – MappaIl comune di Santa Paolina all'interno della provincia di Avellino,Santa Paolina – MappaIl comune di Santa Paolina all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
