Montefalcione comune,Montefalcione comune.1
,
Montefalcione – VedutaPanorama,Montefalcione – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Angelo Antonio D'Agostino (FI) dal 5-10-2021
Territorio,Territorio
Coordinate,40°57′45″N 14°53′05″E
Altitudine,523 m s.l.m.
Superficie,"15,29 km²"
Abitanti,3 040[1] (30-11-2025)
Densità,"198,82 ab./km²"
Comuni confinanti,"Candida, Lapio, Montemiletto, Parolise, Pratola Serra"
Altre informazioni,Altre informazioni
Cod. postale,83030
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064053
Cod. catastale,F491
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 172 GG[3]"
Nome abitanti,montefalcionesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Montefalcione,Montefalcione
Montefalcione – MappaIl comune di Montefalcione all'interno della provincia di Avellino,Montefalcione – MappaIl comune di Montefalcione all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
