Castelvetere sul Calore comune,Castelvetere sul Calore comune.1
,
Castelvetere sul Calore – Veduta,Castelvetere sul Calore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Enrico Cataldo (Insieme x Castelvetere) dal 10-6-2024
Territorio,Territorio
Coordinate,40°55′47″N 14°59′13″E
Altitudine,750 m s.l.m.
Superficie,"17,17 km²"
Abitanti,1 453[1] (30-11-2025)
Densità,"84,62 ab./km²"
Frazioni,"Campoloprisi, Cipollara, Santa Lucia, Tremauriello, Vioni"
Comuni confinanti,"Chiusano di San Domenico, Montemarano, Paternopoli, San Mango sul Calore, Volturara Irpina"
Altre informazioni,Altre informazioni
Cod. postale,83040
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064024
Cod. catastale,C283
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 311 GG[3]"
Nome abitanti,castelveteresi
Patrono,Madonna delle Grazie
Giorno festivo,"2 luglio, 28 aprile"
Cartografia,Cartografia
Castelvetere sul Calore,Castelvetere sul Calore
Castelvetere sul Calore – MappaIl comune di Castelvetere sul Calore all'interno della provincia di Avellino,Castelvetere sul Calore – MappaIl comune di Castelvetere sul Calore all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
