Bonito comune,Bonito comune.1
,
Bonito – Veduta,Bonito – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Giuseppe De Pasquale (Progetto comune per Bonito) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°05′55″N 15°00′08″E
Altitudine,490 m s.l.m.
Superficie,"18,78 km²"
Abitanti,2 173[1] (30-11-2025)
Densità,"115,71 ab./km²"
Frazioni,Morroni
Comuni confinanti,"Apice (BN), Grottaminarda, Melito Irpino, Mirabella Eclano"
Altre informazioni,Altre informazioni
Cod. postale,83032
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064012
Cod. catastale,A975
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 980 GG[3]"
Nome abitanti,bonitesi
Patrono,san Bonito di Clermont
Giorno festivo,15 gennaio
Cartografia,Cartografia
Bonito,Bonito
Bonito – MappaIl comune all'interno della provincia di Avellino,Bonito – MappaIl comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
