San Potito Ultra comune,San Potito Ultra comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Riccardo Porfido (lista civica Facciamo San Potito 2.0) dal 15-05-2023
Territorio,Territorio
Coordinate,40°56′N 14°52′E
Altitudine,517 m s.l.m.
Superficie,"4,54 km²"
Abitanti,1 462[1] (30-11-2025)
Densità,"322,03 ab./km²"
Comuni confinanti,"Atripalda, Candida, Manocalzati, Parolise, Salza Irpina, Sorbo Serpico"
Altre informazioni,Altre informazioni
Cod. postale,83050
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064086
Cod. catastale,I129
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 966 GG[3]"
Nome abitanti,sanpotitesi
Patrono,San Potito Martire
Giorno festivo,14 gennaio
Cartografia,Cartografia
San Potito Ultra,San Potito Ultra
San Potito Ultra – MappaIl comune di San Potito Ultra all'interno della provincia di Avellino,San Potito Ultra – MappaIl comune di San Potito Ultra all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
