Ariano Irpino comune,Ariano Irpino comune.1
,
"Ariano Irpino – VedutaIl triplice rilievo (""Tricolle"") su cui si erge la città","Ariano Irpino – VedutaIl triplice rilievo (""Tricolle"") su cui si erge la città"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Enrico Franza (PSI) dal 5-10-2020
Territorio,Territorio
Coordinate,41°09′10″N 15°05′20″E
Altitudine,788 m s.l.m.
Superficie,"186,74 km²"
Abitanti,20 672[1] (30-11-2025)
Densità,"110,7 ab./km²"
Comuni confinanti,"Apice (BN), Castelfranco in Miscano (BN), Flumeri, Greci, Grottaminarda, Melito Irpino, Montecalvo Irpino, Monteleone di Puglia (FG), Savignano Irpino, Villanova del Battista, Zungoli"
Altre informazioni,Altre informazioni
Cod. postale,83031
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064005
Cod. catastale,A399
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,arianesi
Patrono,sant'Ottone[4]
Giorno festivo,23 marzo
Soprannome,la Città del Tricolle[5]
Cartografia,Cartografia
Ariano Irpino,Ariano Irpino
Ariano Irpino – MappaPosizione del comune di Ariano Irpino all'interno della provincia di Avellino,Ariano Irpino – MappaPosizione del comune di Ariano Irpino all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
