San Sossio Baronia comune,San Sossio Baronia comune.1
,
San Sossio Baronia – Veduta,San Sossio Baronia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Felice Orlandella (lista civica San Sossio Baronia Futura) dal 10-6-2024
Territorio,Territorio
Coordinate,41°04′N 15°12′E
Altitudine,650 m s.l.m.
Superficie,"19,19 km²"
Abitanti,1 465[1] (30-11-2025)
Densità,"76,34 ab./km²"
Frazioni,"Civita, Molara, Montuccio, Montemauro, Turro, Cesinelle, Monticelli, Costa del Vallone, Santa Lucia"
Comuni confinanti,"Anzano di Puglia (FG), Flumeri, Monteleone di Puglia (FG), San Nicola Baronia, Trevico, Vallesaccarda, Zungoli"
Altre informazioni,Altre informazioni
Cod. postale,83050
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,O64087
Cod. catastale,I163
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 259 GG[3]"
Nome abitanti,sossiani
Patrono,"san Pietro martire, san Sossio Levita e Martire"
Giorno festivo,29 aprile
Cartografia,Cartografia
San Sossio Baronia,San Sossio Baronia
San Sossio Baronia – MappaIl comune di San Sossio Baronia all'interno della provincia di Avellino,San Sossio Baronia – MappaIl comune di San Sossio Baronia all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
