Castropignano comune,Castropignano comune.1
,
Castropignano – VedutaCastello d'Evoli di notte,Castropignano – VedutaCastello d'Evoli di notte
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Rodolfo D'Onofrio (Castropignano Bene Comune) dal 9-6-2024
Territorio,Territorio
Coordinate,41°37′N 14°34′E
Altitudine,612 m s.l.m.
Superficie,"26,96 km²"
Abitanti,836[1] (30-11-2025)
Densità,"31,01 ab./km²"
Frazioni,Roccaspromonte
Comuni confinanti,"Busso, Campobasso, Casalciprano, Fossalto, Limosano, Oratino, Ripalimosani, Torella del Sannio"
Altre informazioni,Altre informazioni
Cod. postale,86010
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070016
Cod. catastale,C346
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 116 GG[3]"
Nome abitanti,castropignanesi
Patrono,San Pietro Martire
Giorno festivo,29 aprile
Cartografia,Cartografia
Castropignano,Castropignano
Castropignano – MappaPosizione del comune di Castropignano nella provincia di Campobasso in Molise.,Castropignano – MappaPosizione del comune di Castropignano nella provincia di Campobasso in Molise.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
