Guglionesi comune,Guglionesi comune.1
,
Guglionesi – VedutaPiazza XXIV Maggio,Guglionesi – VedutaPiazza XXIV Maggio
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Bartolomeo Antonacci (lista civica) dal 26-5-2025
Territorio,Territorio
Coordinate,41°55′N 14°55′E
Altitudine,369 m s.l.m.
Superficie,"101,19 km²"
Abitanti,4 870[1] (30-11-2025)
Densità,"48,13 ab./km²"
Frazioni,"Sinarca, Monte Capraro, Monte Antico"
Comuni confinanti,"Campomarino, Larino, Montecilfone, Montenero di Bisaccia, Palata, Petacciato, Portocannone, San Giacomo degli Schiavoni, San Martino in Pensilis, Termoli"
Altre informazioni,Altre informazioni
Cod. postale,86034
Prefisso,0875
Fuso orario,UTC+1
Codice ISTAT,070029
Cod. catastale,E259
Targa,CB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 800 GG[3]"
Nome abitanti,guglionesani
Patrono,sant'Adamo abate
Giorno festivo,3 giugno
PIL,"(nominale) 74,1 mln € [4]"
PIL procapite,(nominale) 14 518 € [4]
Cartografia,Cartografia
Guglionesi,Guglionesi
Guglionesi – MappaPosizione del comune di Guglionesi nella provincia di Campobasso,Guglionesi – MappaPosizione del comune di Guglionesi nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
