Limosano comune,Limosano comune.1
,
Limosano – VedutaPanorama del centro storico,Limosano – VedutaPanorama del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Angela Amoroso (lista civica) dal 7-5-2012 (3º mandato dall'11-6-2022)
Territorio,Territorio
Coordinate,41°41′N 14°37′E
Altitudine,586 m s.l.m.
Superficie,"28,27 km²"
Abitanti,662[1] (30-11-2025)
Densità,"23,42 ab./km²"
Comuni confinanti,"Castropignano, Fossalto, Lucito, Montagano, Petrella Tifernina, Ripalimosani, Sant'Angelo Limosano"
Altre informazioni,Altre informazioni
Cod. postale,86022
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070032
Cod. catastale,E599
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 102 GG[3]"
Nome abitanti,limosanesi
Patrono,Ludovico di Tolosa
Giorno festivo,19 agosto
Cartografia,Cartografia
Limosano,Limosano
Limosano – MappaPosizione del comune di Limosano nella provincia di Campobasso,Limosano – MappaPosizione del comune di Limosano nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
