Campodipietra comune,Campodipietra comune.1
,
Campodipietra – Veduta,Campodipietra – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Giuseppe Riccitelli (lista civica Per Campodipietra Continuità ed Innovazione) dal 9-6-2024
Territorio,Territorio
Coordinate,41°33′N 14°45′E
Altitudine,520 m s.l.m.
Superficie,"19,72 km²"
Abitanti,2 396[1] (30-11-2025)
Densità,"121,5 ab./km²"
Comuni confinanti,"Campobasso, Ferrazzano, Gildone, Jelsi, San Giovanni in Galdo, Toro"
Altre informazioni,Altre informazioni
Cod. postale,86010
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070008
Cod. catastale,B528
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 016 GG[3]"
Nome abitanti,campopetresi
Patrono,san Martino Vescovo
Giorno festivo,11 novembre
PIL,(nominale) 6 100 mln euro[senza fonte]
PIL procapite,(nominale) 13 900 euro[senza fonte]
Cartografia,Cartografia
Campodipietra,Campodipietra
Campodipietra – MappaPosizione del comune di Campodipietra nella provincia di Campobasso,Campodipietra – MappaPosizione del comune di Campodipietra nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
