Castelbottaccio comune,Castelbottaccio comune.1
,
Castelbottaccio – Veduta,Castelbottaccio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Mario Disertore (lista civica) dall'11-1-2023
Territorio,Territorio
Coordinate,41°45′N 14°42′E
Altitudine,617 m s.l.m.
Superficie,"11,22 km²"
Abitanti,222[1] (30-11-2025)
Densità,"19,79 ab./km²"
Comuni confinanti,"Civitacampomarano, Lucito, Lupara, Morrone del Sannio"
Altre informazioni,Altre informazioni
Cod. postale,86030
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070013
Cod. catastale,C066
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 156 GG[3]"
Nome abitanti,castelbottaccesi
Patrono,san Oto
Giorno festivo,31 luglio
Cartografia,Cartografia
Castelbottaccio,Castelbottaccio
Castelbottaccio – MappaPosizione del comune di Castelbottaccio nella provincia di Campobasso,Castelbottaccio – MappaPosizione del comune di Castelbottaccio nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
