Cercemaggiore comune,Cercemaggiore comune.1
,
Cercemaggiore – Veduta,Cercemaggiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Gino Donnino Mascia (Uniti per Cercemaggiore) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°28′N 14°43′E
Altitudine,930 m s.l.m.
Superficie,"56,91 km²"
Abitanti,3 534[1] (30-11-2025)
Densità,"62,1 ab./km²"
Comuni confinanti,"Castelpagano (BN), Cercepiccola, Gildone, Jelsi, Mirabello Sannitico, Morcone (BN), Riccia, Santa Croce del Sannio (BN), Sepino"
Altre informazioni,Altre informazioni
Cod. postale,86012
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070017
Cod. catastale,C486
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 602 GG[3]"
Nome abitanti,cercesi
Patrono,san Vincenzo martire
Giorno festivo,11 settembre
Cartografia,Cartografia
Cercemaggiore,Cercemaggiore
Cercemaggiore – MappaPosizione del comune di Cercemaggiore nella provincia di Campobasso,Cercemaggiore – MappaPosizione del comune di Cercemaggiore nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
