Montagano comune,Montagano comune.1
,
Montagano – VedutaAbbazia di Santa Maria di Faifoli,Montagano – VedutaAbbazia di Santa Maria di Faifoli
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Giuseppe Tullo (lista civica In armonia) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°38′48.97″N 14°40′23.01″E
Altitudine,801 m s.l.m.
Superficie,"26,62 km²"
Abitanti,951[1] (30-11-2025)
Densità,"35,73 ab./km²"
Comuni confinanti,"Limosano, Matrice, Petrella Tifernina, Ripalimosani"
Altre informazioni,Altre informazioni
Cod. postale,86023
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070041
Cod. catastale,F391
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 586 GG[3]"
Nome abitanti,montaganesi
Patrono,sant'Alessandro
Giorno festivo,10 luglio
Cartografia,Cartografia
Montagano,Montagano
Montagano – MappaPosizione del comune di Montagano nella provincia di Campobasso,Montagano – MappaPosizione del comune di Montagano nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
