Cercepiccola comune,Cercepiccola comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Michele Nardacchione (lista civica Giovani cercepiccolesi) dal 31-5-2015 (2º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,41°28′N 14°40′E
Altitudine,680 m s.l.m.
Superficie,"16,79 km²"
Abitanti,662[1] (30-11-2025)
Densità,"39,43 ab./km²"
Comuni confinanti,"Cercemaggiore, Mirabello Sannitico, San Giuliano del Sannio, Sepino"
Altre informazioni,Altre informazioni
Cod. postale,86010
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070018
Cod. catastale,C488
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 243 GG[3]"
Nome abitanti,cercepiccolesi
Patrono,san Donato
Giorno festivo,7 agosto
Cartografia,Cartografia
Cercepiccola,Cercepiccola
Cercepiccola – MappaPosizione del comune di Cercepiccola nella provincia di Campobasso,Cercepiccola – MappaPosizione del comune di Cercepiccola nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
