Provincia di Campobasso provincia,Provincia di Campobasso provincia.1
,
"Provincia di Campobasso – VedutaPanorama di Campobasso, 2016","Provincia di Campobasso – VedutaPanorama di Campobasso, 2016"
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Amministrazione,Amministrazione
Capoluogo,Campobasso
Presidente,Giuseppe Puchetti (indipendente di centro-sinistra) dal 5-11-2023
Data di istituzione,27 settembre 1806
Territorio,Territorio
Coordinate del capoluogo,41°34′N 14°40′E
Superficie,"2 925,41 km²"
Abitanti,208 251[1] (30-9-2025)
Densità,"71,19 ab./km²"
Comuni,84 comuni
Province confinanti,"Chieti, Foggia, Benevento, Caserta, Isernia"
Altre informazioni,Altre informazioni
Cod. postale,86100 (Campobasso) 86010 - 86049 (altri comuni)
Prefisso,"0874, 0875"
Fuso orario,UTC+1
ISO 3166-2,IT-CB
Codice ISTAT,070
Targa,CB
PIL,"(nominale) 4 924,81 mln €[2](2021)"
PIL procapite,(nominale) 23 275 €[2](2021)
Cartografia,Cartografia
Provincia di Campobasso – Localizzazione,Provincia di Campobasso – Localizzazione
Provincia di Campobasso – Mappa,Provincia di Campobasso – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
