Acquaviva Collecroce comune,Acquaviva Collecroce comune.1
(IT) Acquaviva Collecroce (HR) Živavoda Kruč,(IT) Acquaviva Collecroce (HR) Živavoda Kruč
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Francesco Trolio (lista civica Za Kruc) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°52′N 14°45′E
Altitudine,425 m s.l.m.
Superficie,"28,6 km²"
Abitanti,538[1] (30-11-2025)
Densità,"18,81 ab./km²"
Comuni confinanti,"Castelmauro, Guardialfiera, Palata, San Felice del Molise, Tavenna"
Altre informazioni,Altre informazioni
Cod. postale,86030
Prefisso,0875
Fuso orario,UTC+1
Codice ISTAT,070001
Cod. catastale,A050
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 880 GG[3]"
Nome abitanti,acquavivesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Acquaviva Collecroce,Acquaviva Collecroce
Acquaviva Collecroce – MappaPosizione del comune di Acquaviva Collecroce nella provincia di Campobasso,Acquaviva Collecroce – MappaPosizione del comune di Acquaviva Collecroce nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
