Ripalimosani comune,Ripalimosani comune.1
,
Ripalimosani – VedutaChiesa di Santa Maria Assunta,Ripalimosani – VedutaChiesa di Santa Maria Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Marco Giampaolo (lista civica Ripa futura) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°37′N 14°40′E
Altitudine,640 m s.l.m.
Superficie,"33,83 km²"
Abitanti,2 976[1] (30-11-2025)
Densità,"87,97 ab./km²"
Frazioni,Pesco Farese
Comuni confinanti,"Campobasso, Castropignano, Limosano, Matrice, Montagano, Oratino"
Altre informazioni,Altre informazioni
Cod. postale,86025
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070059
Cod. catastale,H313
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 161 GG[3]"
Nome abitanti,ripesi
Patrono,san Michele
Giorno festivo,29 settembre
Cartografia,Cartografia
Ripalimosani,Ripalimosani
Ripalimosani – MappaPosizione del comune di Ripalimosani nella provincia di Campobasso,Ripalimosani – MappaPosizione del comune di Ripalimosani nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
